Rank ,Player,Nation,POS,Squad,Age,born,P,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matche
1,Kerry Abello,us USA,DF,Pride,26,1999,22,17,"1,485",16.5,1,0,1,1,0,0,2,0,0.6,0.6,0.5,1.1,39,88,47,0.06,0,0.06,0.06,0.06,0.03,0.03,0.07,0.03,0.07,Matches
2,Deborah Abiodun,ng NGA,"MF,DF",Spirit,21,2003,8,6,581,6.5,0,1,1,0,0,0,2,0,0.3,0.3,0.5,0.9,6,30,12,0,0.15,0.15,0,0.15,0.05,0.08,0.14,0.05,0.14,Matches
3,Emeri Adames,us USA,"MF,FW",Reign,19,2006,20,11,989,11,6,0,6,5,1,1,0,0,4.1,3.4,0.9,4.3,24,24,62,0.55,0,0.55,0.46,0.46,0.37,0.08,0.45,0.31,0.39,Matches
4,Marie-Yasmine Alidou,ca CAN,"MF,FW",Thorns,30,1995,19,6,696,7.7,1,1,2,1,0,0,1,0,1.1,1.1,0.5,1.6,15,20,35,0.13,0.13,0.26,0.13,0.26,0.14,0.07,0.21,0.14,0.21,Matches
5,Aline,br BRA,"FW,MF",Courage,20,2005,14,3,349,3.9,1,0,1,1,0,0,0,0,1,1,0.4,1.4,12,8,37,0.26,0,0.26,0.26,0.26,0.25,0.11,0.36,0.25,0.36,Matches
6,Emmie Allen,us USA,GK,Bay FC,22,2002,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
7,Michelle Alozie,ng NGA,"DF,MF",Dash,28,1997,19,4,609,6.8,1,0,1,1,0,0,2,0,0.2,0.2,0.2,0.5,19,21,36,0.15,0,0.15,0.15,0.15,0.04,0.03,0.07,0.04,0.07,Matches
8,Angelina Anderson,us USA,GK,Angel City,24,2001,21,21,"1,890",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
9,Hannah Anderson,us USA,DF,Chicago Stars,24,2001,11,4,470,5.2,0,0,0,0,0,0,0,0,0.4,0.4,0,0.5,0,8,1,0,0,0,0,0,0.09,0,0.09,0.09,0.09,Matches
10,Joelle Anderson,us USA,DF,Bay FC,27,1998,19,14,"1,241",13.8,1,2,3,1,0,0,2,0,0.6,0.6,0.3,0.9,3,48,1,0.07,0.15,0.22,0.07,0.22,0.05,0.02,0.07,0.05,0.07,Matches
11,Angelina,br BRA,MF,Pride,25,2000,23,20,"1,720",19.1,0,1,1,0,0,1,2,0,2.1,1.4,2.5,3.9,10,90,74,0,0.05,0.05,0,0.05,0.11,0.13,0.24,0.07,0.2,Matches
12,Daniela Arias,co COL,DF,Wave,31,1994,2,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.31,0,0.31,0.31,0.31,Matches
13,Trinity Armstrong,us USA,DF,Wave,18,2007,22,17,"1,567",17.4,1,2,3,1,0,0,2,0,1.4,1.4,0.7,2.1,19,70,7,0.06,0.11,0.17,0.06,0.17,0.08,0.04,0.12,0.08,0.12,Matches
14,Mackenzie Arnold,au AUS,GK,Thorns,31,1994,18,18,"1,620",18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
15,Ary Borges,br BRA,MF,Louisville,25,1999,20,15,"1,314",14.6,1,0,1,0,1,1,2,0,4.2,3.4,0.3,3.8,11,51,33,0.07,0,0.07,0,0,0.29,0.02,0.31,0.24,0.26,Matches
16,Kimmi Ascanio,us USA,"FW,MF",Wave,17,2008,25,16,"1,425",15.8,4,1,5,4,0,0,1,0,3.4,3.4,0.3,3.8,19,50,59,0.25,0.06,0.32,0.25,0.32,0.22,0.02,0.24,0.22,0.24,Matches
17,Ramona Bachmann,ch SUI,MF,Dash,34,1990,2,0,37,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,Matches
18,Dorian Bailey,us USA,MF,Bay FC,28,1997,22,12,"1,188",13.2,0,0,0,0,0,0,3,0,0.8,0.8,1.4,2.2,14,48,38,0,0,0,0,0,0.06,0.1,0.16,0.06,0.16,Matches
19,Bethany Balcer,us USA,"FW,MF",Louisville,28,1997,10,0,45,0.5,1,1,2,1,0,0,0,0,0.3,0.3,0.2,0.5,0,1,5,2,2,4,2,4,0.54,0.44,0.98,0.54,0.98,Matches
20,Elizabeth Ball,us USA,DF,Current,30,1995,18,14,"1,293",14.4,1,0,1,1,0,0,1,0,0.6,0.6,0,0.6,0,10,1,0.07,0,0.07,0.07,0.07,0.04,0,0.04,0.04,0.04,Matches
